time,U0,x0
0.44000,-3.0020592594,0.1869198924
0.44200,-3.0155068694,0.1808888787
0.44400,-3.0283718655,0.1748321349
0.44600,-3.0406473242,0.1687508403
0.44800,-3.0523262153,0.1626461878
0.45000,-3.0634013992,0.1565193851
0.45200,-3.0738656240,0.1503716538
0.45400,-3.0837115245,0.1442042308
0.45600,-3.0929316209,0.1380183675
0.45800,-3.1015183185,0.1318153309
0.46000,-3.1094639086,0.1255964031
0.46200,-3.1167605698,0.1193628819
0.46400,-3.1234003703,0.1131160812
0.46600,-3.1293752718,0.1068573306
0.46800,-3.1346771332,0.1005879764
0.47000,-3.1392977166,0.0943093809
0.47200,-3.1432286938,0.0880229235
0.47400,-3.1464616544,0.0817300002
0.47600,-3.1489881147,0.0754320240
0.47800,-3.1507995279,0.0691304250
0.48000,-3.1518872967,0.0628266504
0.48200,-3.1522427858,0.0565221648
0.48400,-3.1518573369,0.0502184501
0.48600,-3.1507222848,0.0439170055
0.48800,-3.1488289756,0.0376193476
0.49000,-3.1461687853,0.0313270100
0.49200,-3.1427331417,0.0250415437
0.49400,-3.1385135463,0.0187645166
0.49600,-3.1335015991,0.0124975134
0.49800,-3.1276890246,0.0062421354
0.50000,-3.1210676992,-0.0000000000
0.50200,-3.1136296815,-0.0062272594
0.50400,-3.1053672427,-0.0124379938
0.50600,-3.0962728999,-0.0186305396
0.50800,-3.0863394507,-0.0248032185
0.51000,-3.0755600095,-0.0309543386
0.51200,-3.0639280451,-0.0370821947
0.51400,-3.0514374204,-0.0431850695
0.51600,-3.0380824330,-0.0492612344
0.51800,-3.0238578577,-0.0553089501
0.52000,-3.0087589898,-0.0613264681
0.52200,-2.9927816900,-0.0673120314
0.52400,-2.9759224301,-0.0732638763
0.52600,-2.9581783397,-0.0791802330
0.52800,-2.9395472534,-0.0850593275
0.53000,-2.9200277588,-0.0908993830
0.53200,-2.8996192451,-0.0966986215
0.53400,-2.8783219510,-0.1024552654
0.53600,-2.8561370133,-0.1081675394
0.53800,-2.8330665152,-0.1138336725
0.54000,-2.8091135330,-0.1194518995
0.54200,-2.7842821833,-0.1250204639
0.54400,-2.7585776679,-0.1305376192
0.54600,-2.7320063179,-0.1360016319
0.54800,-2.7045756358,-0.1414107831
0.55000,-2.6762943353,-0.1467633718
0.55200,-2.6471723791,-0.1520577166
0.55400,-2.6172210135,-0.1572921586
0.55600,-2.5864528002,-0.1624650642
0.55800,-2.5548816444,-0.1675748275
0.56000,-2.5225228194,-0.1726198731
0.56200,-2.4893929867,-0.1775986591
0.56400,-2.4555102123,-0.1825096795
0.56600,-2.4208939776,-0.1873514675
0.56800,-2.3855651857,-0.1921225978
0.57000,-2.3495461626,-0.1968216902
0.57200,-2.3128606520,-0.2014474115
0.57400,-2.2755338056,-0.2059984791
0.57600,-2.2375921668,-0.2104736634
0.57800,-2.1990636482,-0.2148717907
0.58000,-2.1599775033,-0.2191917457
0.58200,-2.1203642919,-0.2234324743
0.58400,-2.0802558391,-0.2275929860
0.58600,-2.0396851884,-0.2316723564
0.58800,-1.9986865478,-0.2356697294
0.59000,-1.9572952307,-0.2395843199
0.59200,-1.9155475906,-0.2434154151
0.59400,-1.8734809498,-0.2471623770
0.59600,-1.8311335231,-0.2508246440
0.59800,-1.7885443356,-0.2544017327
0.60000,-1.7457531365,-0.2578932390
0.60200,-1.7028003082,-0.2612988396
0.60400,-1.6597267706,-0.2646182931
0.60600,-1.6165738831,-0.2678514409
0.60800,-1.5733833427,-0.2709982076
0.61000,-1.5301970795,-0.2740586017
0.61200,-1.4870571508,-0.2770327161
0.61400,-1.4440056328,-0.2799207273
0.61600,-1.4010845124,-0.2827228963
0.61800,-1.3583355782,-0.2854395675
0.62000,-1.3158003116,-0.2880711681
0.62200,-1.2735197789,-0.2906182077
0.62400,-1.2315345251,-0.2930812767
0.62600,-1.1898844693,-0.2954610457
0.62800,-1.1486088027,-0.2977582633
0.63000,-1.1077458897,-0.2999737551
0.63200,-1.0673331722,-0.3021084214
0.63400,-1.0274070783,-0.3041632356
0.63600,-0.9880029345,-0.3061392414
0.63800,-0.9491548838,-0.3080375512
0.64000,-0.9108958074,-0.3098593428
0.64200,-0.8732572529,-0.3116058573
0.64400,-0.8362693668,-0.3132783960
0.64600,-0.7999608339,-0.3148783177
0.64800,-0.7643588213,-0.3164070354
0.65000,-0.7294889293,-0.3178660132
0.65200,-0.6953751471,-0.3192567635
0.65400,-0.6620398155,-0.3205808431
0.65600,-0.6295035943,-0.3218398503
0.65800,-0.5977854360,-0.3230354212
0.66000,-0.5669025651,-0.3241692263
0.66200,-0.5368704624,-0.3252429673
0.66400,-0.5077028543,-0.3262583730
0.66600,-0.4794117076,-0.3272171964
0.66800,-0.4520072278,-0.3281212108
0.67000,-0.4254978632,-0.3289722066
0.67200,-0.3998903112,-0.3297719872
0.67400,-0.3751895295,-0.3305223662
0.67600,-0.3513987496,-0.3312251637
0.67800,-0.3285194944,-0.3318822027
0.68000,-0.3065515966,-0.3324953059
0.68200,-0.2854932208,-0.3330662924
0.68400,-0.2653408864,-0.3335969741
0.68600,-0.2460894921,-0.3340891531
0.68800,-0.2277323418,-0.3345446178
0.69000,-0.2102611708,-0.3349651401
0.69200,-0.1936661726,-0.3353524725
0.69400,-0.1779360256,-0.3357083445
0.69600,-0.1630579197,-0.3360344604
0.69800,-0.1490175829,-0.3363324955
0.70000,-0.1357993066,-0.3366040942
0.70200,-0.1233859708,-0.3368508661
0.70400,-0.1117590680,-0.3370743842
0.70600,-0.1008987264,-0.3372761817
0.70800,-0.0907837324,-0.3374577492
0.71000,-0.0813915519,-0.3376205323
0.71200,-0.0726983519,-0.3377659290
0.71400,-0.0646790205,-0.3378952870
0.71600,-0.0573071884,-0.3380099014
0.71800,-0.0505552500,-0.3381110119
0.72000,-0.0443943863,-0.3381998007
0.72200,-0.0387945889,-0.3382773898
0.72400,-0.0337246878,-0.3383448392
0.72600,-0.0291523812,-0.3384031440
0.72800,-0.0250442714,-0.3384532325
0.73000,-0.0213659047,-0.3384959643
0.73200,-0.0180818185,-0.3385321280
0.73400,-0.0151555946,-0.3385624391
0.73600,-0.0125499216,-0.3385875390
0.73800,-0.0102266640,-0.3386079923
0.74000,-0.0081469414,-0.3386242862
0.74200,-0.0062712153,-0.3386368286
0.74400,-0.0045593842,-0.3386459474
0.74600,-0.0029708862,-0.3386518892
0.74800,-0.0014648082,-0.3386548188
0.75000,0.0000000000,-0.3386548188
0.75200,0.0014648082,-0.3386518892
0.75400,0.0029708862,-0.3386459474
0.75600,0.0045593842,-0.3386368286
0.75800,0.0062712153,-0.3386242862
0.76000,0.0081469414,-0.3386079923
0.76200,0.0102266640,-0.3385875390
0.76400,0.0125499216,-0.3385624391
0.76600,0.0151555946,-0.3385321280
0.76800,0.0180818185,-0.3384959643
0.77000,0.0213659047,-0.3384532325
0.77200,0.0250442714,-0.3384031440
0.77400,0.0291523812,-0.3383448392
0.77600,0.0337246878,-0.3382773898
0.77800,0.0387945889,-0.3381998007
0.78000,0.0443943863,-0.3381110119
0.78200,0.0505552500,-0.3380099014
0.78400,0.0573071884,-0.3378952870
0.78600,0.0646790205,-0.3377659290
0.78800,0.0726983519,-0.3376205323
0.79000,0.0813915519,-0.3374577492
0.79200,0.0907837324,-0.3372761817
0.79400,0.1008987264,-0.3370743842
0.79600,0.1117590680,-0.3368508661
0.79800,0.1233859708,-0.3366040942
0.80000,0.1357993066,-0.3363324955
0.80200,0.1490175829,-0.3360344604
0.80400,0.1630579197,-0.3357083445
0.80600,0.1779360256,-0.3353524725
0.80800,0.1936661726,-0.3349651401
0.81000,0.2102611708,-0.3345446178
0.81200,0.2277323418,-0.3340891531
0.81400,0.2460894921,-0.3335969741
0.81600,0.2653408864,-0.3330662924
0.81800,0.2854932208,-0.3324953059
0.82000,0.3065515966,-0.3318822027
0.82200,0.3285194944,-0.3312251637
0.82400,0.3513987496,-0.3305223662
0.82600,0.3751895295,-0.3297719872
0.82800,0.3998903112,-0.3289722066
0.83000,0.4254978632,-0.3281212108
0.83200,0.4520072278,-0.3272171964
0.83400,0.4794117076,-0.3262583730
0.83600,0.5077028543,-0.3252429673
0.83800,0.5368704624,-0.3241692263
0.84000,0.5669025651,-0.3230354212
0.84200,0.5977854360,-0.3218398503
0.84400,0.6295035943,-0.3205808431
0.84600,0.6620398155,-0.3192567635
0.84800,0.6953751471,-0.3178660132
0.85000,0.7294889293,-0.3164070354
0.85200,0.7643588213,-0.3148783177
0.85400,0.7999608339,-0.3132783960
0.85600,0.8362693668,-0.3116058573
0.85800,0.8732572529,-0.3098593428
0.86000,0.9108958074,-0.3080375512
0.86200,0.9491548838,-0.3061392414
0.86400,0.9880029345,-0.3041632356
0.86600,1.0274070783,-0.3021084214
0.86800,1.0673331722,-0.2999737551
0.87000,1.1077458897,-0.2977582633
0.87200,1.1486088027,-0.2954610457
0.87400,1.1898844693,-0.2930812767
0.87600,1.2315345251,-0.2906182077
0.87800,1.2735197789,-0.2880711681
0.88000,1.3158003116,-0.2854395675
0.88200,1.3583355782,-0.2827228963
0.88400,1.4010845124,-0.2799207273
0.88600,1.4440056328,-0.2770327161
0.88800,1.4870571508,-0.2740586017
0.89000,1.5301970795,-0.2709982076
0.89200,1.5733833427,-0.2678514409
0.89400,1.6165738831,-0.2646182931
0.89600,1.6597267706,-0.2612988396
0.89800,1.7028003082,-0.2578932390
0.90000,1.7457531365,-0.2544017327
0.90200,1.7885443356,-0.2508246440
0.90400,1.8311335231,-0.2471623770
0.90600,1.8734809498,-0.2434154151
0.90800,1.9155475906,-0.2395843199
0.91000,1.9572952307,-0.2356697294
0.91200,1.9986865478,-0.2316723564
0.91400,2.0396851884,-0.2275929860
0.91600,2.0802558391,-0.2234324743
0.91800,2.1203642919,-0.2191917457
0.92000,2.1599775033,-0.2148717907
0.92200,2.1990636482,-0.2104736634
0.92400,2.2375921668,-0.2059984791
0.92600,2.2755338056,-0.2014474115
0.92800,2.3128606520,-0.1968216902
0.93000,2.3495461626,-0.1921225978
0.93200,2.3855651857,-0.1873514675
0.93400,2.4208939776,-0.1825096795
0.93600,2.4555102123,-0.1775986591
0.93800,2.4893929867,-0.1726198731
0.94000,2.5225228194,-0.1675748275
0.94200,2.5548816444,-0.1624650642
0.94400,2.5864528002,-0.1572921586
0.94600,2.6172210135,-0.1520577166
0.94800,2.6471723791,-0.1467633718
0.95000,2.6762943353,-0.1414107831
0.95200,2.7045756358,-0.1360016319
0.95400,2.7320063179,-0.1305376192
0.95600,2.7585776679,-0.1250204639
0.95800,2.7842821833,-0.1194518995
0.96000,2.8091135330,-0.1138336725
0.96200,2.8330665152,-0.1081675394
0.96400,2.8561370133,-0.1024552654
0.96600,2.8783219510,-0.0966986215
0.96800,2.8996192451,-0.0908993830
0.97000,2.9200277588,-0.0850593275
0.97200,2.9395472534,-0.0791802330
0.97400,2.9581783397,-0.0732638763
0.97600,2.9759224301,-0.0673120314
0.97800,2.9927816900,-0.0613264681
0.98000,3.0087589898,-0.0553089501
0.98200,3.0238578577,-0.0492612344
0.98400,3.0380824330,-0.0431850695
0.98600,3.0514374204,-0.0370821947
0.98800,3.0639280451,-0.0309543386
0.99000,3.0755600095,-0.0248032185
0.99200,3.0863394507,-0.0186305396
0.99400,3.0962728999,-0.0124379938
0.99600,3.1053672427,-0.0062272594
0.99800,3.1136296815,0.0000000000
